Hora,Media,Desviacion_Estandar,Numero_Mediciones
2025-08-30 00:25:00,240.03,17.41,30
2025-08-30 00:30:00,246.17,16.74,30
2025-08-30 00:35:00,249.53,17.11,30
2025-08-30 00:40:00,248.63,17.22,30
2025-08-30 00:45:00,250.67,15.05,30
2025-08-30 00:50:00,253.13,15.39,30
2025-08-30 00:55:00,257.07,14.69,30
2025-08-30 01:00:00,259.80,16.24,30
2025-08-30 01:05:00,263.87,14.85,30
2025-08-30 01:10:00,271.13,18.61,30
2025-08-30 01:15:00,266.40,15.72,30
2025-08-30 01:20:00,273.17,15.71,30
2025-08-30 01:25:00,269.20,16.51,30
2025-08-30 01:30:00,243.27,15.32,30
2025-08-30 01:35:00,242.67,13.44,30
2025-08-30 01:40:00,238.27,17.66,30
2025-08-30 01:45:00,243.80,13.28,30
2025-08-30 01:50:00,247.23,13.90,30
2025-08-30 01:55:00,247.43,10.92,30
2025-08-30 02:00:00,249.37,15.90,30
2025-08-30 02:05:00,253.27,14.59,30
2025-08-30 02:10:00,253.37,15.62,30
2025-08-30 02:15:00,257.53,14.85,30
2025-08-30 02:20:00,250.70,12.39,30
2025-08-30 02:25:00,258.87,12.82,30
2025-08-30 02:30:00,254.70,13.77,30
2025-08-30 02:35:00,250.13,14.28,30
2025-08-30 02:40:00,254.40,21.28,30
2025-08-30 02:45:00,253.37,12.12,30
2025-08-30 02:50:00,258.40,13.76,30
2025-08-30 02:55:00,265.57,14.12,30
2025-08-30 03:00:00,256.90,13.09,30
2025-08-30 03:05:00,260.70,16.78,30
2025-08-30 03:10:00,263.57,19.22,30
2025-08-30 03:15:00,264.80,18.86,30
2025-08-30 03:20:00,260.40,12.71,30
2025-08-30 03:25:00,257.93,17.13,30
2025-08-30 03:30:00,257.67,20.10,30
2025-08-30 03:35:00,265.60,16.21,30
2025-08-30 03:40:00,261.03,13.06,30
2025-08-30 03:45:00,264.03,16.25,30
2025-08-30 03:50:00,259.40,12.82,30
2025-08-30 03:55:00,259.90,13.16,30
2025-08-30 04:00:00,263.60,14.55,30
2025-08-30 04:05:00,259.10,16.25,30
2025-08-30 04:10:00,254.60,12.59,30
2025-08-30 04:15:00,257.17,16.48,30
2025-08-30 04:20:00,261.93,17.25,30
2025-08-30 04:25:00,268.03,21.15,30
2025-08-30 04:30:00,264.90,18.12,30
2025-08-30 04:35:00,264.37,19.37,30
2025-08-30 04:40:00,259.73,14.50,30
2025-08-30 04:45:00,255.10,16.25,30
2025-08-30 04:50:00,258.03,10.78,30
2025-08-30 04:55:00,249.53,15.98,30
2025-08-30 05:00:00,248.93,15.05,30
