Date,Dato_Presion,Dato_Temp
2025-08-29 00:00:00-04:00,681.0,6.5
2025-08-29 00:05:00-04:00,680.9,6.5
2025-08-29 00:10:00-04:00,681.0,6.4
2025-08-29 00:15:00-04:00,681.0,6.4
2025-08-29 00:20:00-04:00,680.8,6.2
2025-08-29 00:25:00-04:00,680.7,6.0
2025-08-29 00:30:00-04:00,681.0,6.1
2025-08-29 00:35:00-04:00,680.9,6.2
2025-08-29 00:40:00-04:00,680.9,6.1
2025-08-29 00:45:00-04:00,680.8,6.0
2025-08-29 00:50:00-04:00,680.9,6.0
2025-08-29 00:55:00-04:00,681.0,6.0
2025-08-29 01:00:00-04:00,681.0,6.0
2025-08-29 01:05:00-04:00,680.9,6.0
2025-08-29 01:10:00-04:00,681.0,5.8
2025-08-29 01:15:00-04:00,680.9,5.9
2025-08-29 01:20:00-04:00,680.9,5.8
2025-08-29 01:25:00-04:00,681.0,5.6
2025-08-29 01:30:00-04:00,681.0,5.6
2025-08-29 01:35:00-04:00,681.2,5.7
2025-08-29 01:40:00-04:00,681.1,5.6
2025-08-29 01:45:00-04:00,680.9,5.7
2025-08-29 01:50:00-04:00,680.9,5.7
2025-08-29 01:55:00-04:00,680.9,5.6
2025-08-29 02:00:00-04:00,680.8,5.6
2025-08-29 02:05:00-04:00,680.7,5.6
2025-08-29 02:10:00-04:00,680.8,5.5
2025-08-29 02:15:00-04:00,680.6,5.6
2025-08-29 02:20:00-04:00,680.5,5.3
2025-08-29 02:25:00-04:00,680.7,5.2
2025-08-29 02:30:00-04:00,680.6,4.9
2025-08-29 02:35:00-04:00,680.5,5.0
2025-08-29 02:40:00-04:00,680.3,5.3
2025-08-29 02:45:00-04:00,680.4,5.4
2025-08-29 02:50:00-04:00,680.6,5.2
2025-08-29 02:55:00-04:00,680.4,5.1
2025-08-29 03:00:00-04:00,680.4,5.3
2025-08-29 03:05:00-04:00,680.3,5.4
2025-08-29 03:10:00-04:00,680.1,5.2
2025-08-29 03:15:00-04:00,680.3,5.1
2025-08-29 03:20:00-04:00,680.2,5.0
2025-08-29 03:25:00-04:00,680.1,4.8
2025-08-29 03:30:00-04:00,680.2,4.7
2025-08-29 03:35:00-04:00,679.9,4.5
2025-08-29 03:40:00-04:00,680.0,4.4
2025-08-29 03:45:00-04:00,680.1,4.6
2025-08-29 03:50:00-04:00,679.9,4.7
2025-08-29 03:55:00-04:00,680.1,4.6
2025-08-29 04:00:00-04:00,680.0,4.2
2025-08-29 04:05:00-04:00,680.1,4.2
2025-08-29 04:10:00-04:00,679.9,4.4
2025-08-29 04:15:00-04:00,679.9,4.3
2025-08-29 04:20:00-04:00,679.8,4.5
2025-08-29 04:25:00-04:00,679.7,4.5
2025-08-29 04:30:00-04:00,679.9,4.5
2025-08-29 04:35:00-04:00,679.8,4.6
2025-08-29 04:40:00-04:00,679.6,4.6
2025-08-29 04:45:00-04:00,679.7,4.7
2025-08-29 04:50:00-04:00,679.6,4.6
2025-08-29 04:55:00-04:00,679.7,4.4
2025-08-29 05:00:00-04:00,679.8,4.1
2025-08-29 05:05:00-04:00,679.8,4.0
2025-08-29 05:10:00-04:00,679.8,3.9
2025-08-29 05:15:00-04:00,679.8,3.9
2025-08-29 05:20:00-04:00,679.8,3.9
2025-08-29 05:25:00-04:00,679.8,3.9
2025-08-29 05:30:00-04:00,679.8,3.9
2025-08-29 05:35:00-04:00,679.8,3.9
2025-08-29 05:40:00-04:00,679.9,3.9
2025-08-29 05:45:00-04:00,680.0,3.9
2025-08-29 05:50:00-04:00,680.0,3.9
2025-08-29 05:55:00-04:00,680.1,3.6
2025-08-29 06:00:00-04:00,680.1,3.7
2025-08-29 06:05:00-04:00,680.0,3.6
2025-08-29 06:10:00-04:00,680.2,3.5
2025-08-29 06:15:00-04:00,680.2,3.5
2025-08-29 06:20:00-04:00,680.1,3.6
2025-08-29 06:25:00-04:00,680.2,3.4
2025-08-29 06:30:00-04:00,680.2,3.6
2025-08-29 06:35:00-04:00,680.3,3.5
2025-08-29 06:40:00-04:00,680.2,3.5
2025-08-29 06:45:00-04:00,680.4,3.5
2025-08-29 06:50:00-04:00,680.7,3.4
2025-08-29 06:55:00-04:00,680.5,3.6
2025-08-29 07:00:00-04:00,680.6,3.6
2025-08-29 07:05:00-04:00,680.6,3.5
2025-08-29 07:10:00-04:00,680.7,3.7
2025-08-29 07:15:00-04:00,680.6,3.8
2025-08-29 07:20:00-04:00,680.6,3.7
2025-08-29 07:25:00-04:00,680.6,4.2
2025-08-29 07:30:00-04:00,680.9,5.1
2025-08-29 07:35:00-04:00,680.8,6.6
2025-08-29 07:40:00-04:00,680.8,7.6
2025-08-29 07:45:00-04:00,680.9,7.4
2025-08-29 07:50:00-04:00,681.0,8.8
2025-08-29 07:55:00-04:00,680.9,9.5
