Fecha,Hora,Dato
2025-08-29,00:00:00,681.0
2025-08-29,00:05:00,680.9
2025-08-29,00:10:00,681.0
2025-08-29,00:15:00,681.0
2025-08-29,00:20:00,680.8
2025-08-29,00:25:00,680.7
2025-08-29,00:30:00,681.0
2025-08-29,00:35:00,680.9
2025-08-29,00:40:00,680.9
2025-08-29,00:45:00,680.8
2025-08-29,00:50:00,680.9
2025-08-29,00:55:00,681.0
2025-08-29,01:00:00,681.0
2025-08-29,01:05:00,680.9
2025-08-29,01:10:00,681.0
2025-08-29,01:15:00,680.9
2025-08-29,01:20:00,680.9
2025-08-29,01:25:00,681.0
2025-08-29,01:30:00,681.0
2025-08-29,01:35:00,681.2
2025-08-29,01:40:00,681.1
2025-08-29,01:45:00,680.9
2025-08-29,01:50:00,680.9
2025-08-29,01:55:00,680.9
2025-08-29,02:00:00,680.8
2025-08-29,02:05:00,680.7
2025-08-29,02:10:00,680.8
2025-08-29,02:15:00,680.6
2025-08-29,02:20:00,680.5
2025-08-29,02:25:00,680.7
2025-08-29,02:30:00,680.6
2025-08-29,02:35:00,680.5
2025-08-29,02:40:00,680.3
2025-08-29,02:45:00,680.4
2025-08-29,02:50:00,680.6
2025-08-29,02:55:00,680.4
2025-08-29,03:00:00,680.4
2025-08-29,03:05:00,680.3
2025-08-29,03:10:00,680.1
2025-08-29,03:15:00,680.3
2025-08-29,03:20:00,680.2
2025-08-29,03:25:00,680.1
2025-08-29,03:30:00,680.2
2025-08-29,03:35:00,679.9
2025-08-29,03:40:00,680.0
2025-08-29,03:45:00,680.1
2025-08-29,03:50:00,679.9
2025-08-29,03:55:00,680.1
2025-08-29,04:00:00,680.0
2025-08-29,04:05:00,680.1
2025-08-29,04:10:00,679.9
2025-08-29,04:15:00,679.9
2025-08-29,04:20:00,679.8
2025-08-29,04:25:00,679.7
2025-08-29,04:30:00,679.9
2025-08-29,04:35:00,679.8
2025-08-29,04:40:00,679.6
2025-08-29,04:45:00,679.7
2025-08-29,04:50:00,679.6
2025-08-29,04:55:00,679.7
2025-08-29,05:00:00,679.8
2025-08-29,05:05:00,679.8
2025-08-29,05:10:00,679.8
2025-08-29,05:15:00,679.8
2025-08-29,05:20:00,679.8
2025-08-29,05:25:00,679.8
2025-08-29,05:30:00,679.8
2025-08-29,05:35:00,679.8
2025-08-29,05:40:00,679.9
2025-08-29,05:45:00,680.0
2025-08-29,05:50:00,680.0
2025-08-29,05:55:00,680.1
2025-08-29,06:00:00,680.1
2025-08-29,06:05:00,680.0
2025-08-29,06:10:00,680.2
2025-08-29,06:15:00,680.2
2025-08-29,06:20:00,680.1
2025-08-29,06:25:00,680.2
2025-08-29,06:30:00,680.2
2025-08-29,06:35:00,680.3
2025-08-29,06:40:00,680.2
2025-08-29,06:45:00,680.4
2025-08-29,06:50:00,680.7
2025-08-29,06:55:00,680.5
2025-08-29,07:00:00,680.6
2025-08-29,07:05:00,680.6
2025-08-29,07:10:00,680.7
2025-08-29,07:15:00,680.6
2025-08-29,07:20:00,680.6
2025-08-29,07:25:00,680.6
2025-08-29,07:30:00,680.9
2025-08-29,07:35:00,680.8
2025-08-29,07:40:00,680.8
2025-08-29,07:45:00,680.9
2025-08-29,07:50:00,681.0
2025-08-29,07:55:00,680.9
2025-08-29,08:00:00,680.9
2025-08-29,08:05:00,680.9
2025-08-29,08:10:00,681.0
2025-08-29,08:15:00,681.0
2025-08-29,08:20:00,681.0
2025-08-29,08:25:00,681.0
2025-08-29,08:30:00,681.1
2025-08-29,08:35:00,681.2
2025-08-29,08:40:00,681.1
2025-08-29,08:45:00,681.1
2025-08-29,08:50:00,681.0
2025-08-29,08:55:00,681.1
2025-08-29,09:00:00,681.1
2025-08-29,09:05:00,681.2
2025-08-29,09:10:00,681.2
2025-08-29,09:15:00,681.2
2025-08-29,09:20:00,681.2
2025-08-29,09:25:00,681.0
2025-08-29,09:30:00,681.1
2025-08-29,09:35:00,681.1
2025-08-29,09:40:00,681.0
2025-08-29,09:45:00,681.0
2025-08-29,09:50:00,681.0
2025-08-29,09:55:00,681.1
2025-08-29,10:00:00,681.0
2025-08-29,10:05:00,681.0
2025-08-29,10:10:00,680.8
2025-08-29,10:15:00,680.9
2025-08-29,10:20:00,680.9
2025-08-29,10:25:00,680.7
2025-08-29,10:30:00,680.7
2025-08-29,10:35:00,680.6
2025-08-29,10:40:00,680.4
2025-08-29,10:45:00,680.7
2025-08-29,10:50:00,680.4
2025-08-29,10:55:00,680.5
2025-08-29,11:00:00,680.3
2025-08-29,11:05:00,680.3
2025-08-29,11:10:00,680.2
2025-08-29,11:15:00,680.2
2025-08-29,11:20:00,680.0
2025-08-29,11:25:00,680.0
