,rate_ratio,RR 95% low,RR 95% high
const,32826312.380489755,79158.71018527378,13612738029.452599
presion,0.9821701722986225,0.9735437427955264,0.9908730393388323
temperatura,0.9880122886916859,0.9841348188946939,0.9919050356354041
