,coef,std_err,z,p_value,95% CI low,95% CI high
const,17.306740958480788,3.075327353058563,5.627609347430409,1.8272433025414935e-08,11.279210105815109,23.334271811146465
presion,-0.017990694094458092,0.0045010151310477375,-3.9970303521886303,6.414207940206455e-05,-0.02681252164518149,-0.009168866543734696
temperatura,-0.01206014336456934,0.0020062801712927313,-6.011196011969993,1.8415957460110183e-09,-0.015992380243199943,-0.008127906485938738
