Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.15
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:04:30
End Time:	enero 01, 2002, 12:09:35
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	30630	2243	7	340

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	1
39	39.0	0
40	40.0	0
41	41.0	0
42	42.0	0
43	43.0	0
44	44.0	0
45	45.0	0
46	46.0	0
47	47.0	0
48	48.0	0
49	49.0	0
50	50.0	0
51	51.0	0
52	52.0	0
53	53.0	0
54	54.0	1
55	55.0	0
56	56.0	1
57	57.0	1
58	58.0	0
59	59.0	0
60	60.0	0
61	61.0	0
62	62.0	1
63	63.0	0
64	64.0	0
65	65.0	0
66	66.0	0
67	67.0	0
68	68.0	0
69	69.0	0
70	70.0	0
71	71.0	0
72	72.0	0
73	73.0	0
74	74.0	0
75	75.0	0
76	76.0	0
77	77.0	0
78	78.0	0
79	79.0	0
80	80.0	0
81	81.0	0
82	82.0	0
83	83.0	0
84	84.0	0
85	85.0	0
86	86.0	0
87	87.0	0
88	88.0	0
89	89.0	0
90	90.0	1
91	91.0	0
92	92.0	0
93	93.0	0
94	94.0	2
95	95.0	0
96	96.0	0
97	97.0	1
98	98.0	0
99	99.0	0
100	100.0	0
101	101.0	0
102	102.0	0
103	103.0	0
104	104.0	0
105	105.0	0
106	106.0	0
107	107.0	0
108	108.0	0
109	109.0	1
110	110.0	0
111	111.0	0
112	112.0	0
113	113.0	0
114	114.0	1
115	115.0	2
116	116.0	0
117	117.0	0
118	118.0	0
119	119.0	0
120	120.0	0
121	121.0	0
122	122.0	2
123	123.0	0
124	124.0	0
125	125.0	0
126	126.0	1
127	127.0	1
128	128.0	0
129	129.0	0
130	130.0	0
131	131.0	0
132	132.0	1
133	133.0	0
134	134.0	0
135	135.0	0
136	136.0	0
137	137.0	7
138	138.0	93
139	139.0	691
140	140.0	1252
141	141.0	1442
142	142.0	1419
143	143.0	1414
144	144.0	1365
145	145.0	1448
146	146.0	1353
147	147.0	1417
148	148.0	1348
149	149.0	1322
150	150.0	1425
151	151.0	1349
152	152.0	1315
153	153.0	1348
154	154.0	1368
155	155.0	1338
156	156.0	1338
157	157.0	1367
158	158.0	1301
159	159.0	1264
160	160.0	1347
161	161.0	1293
162	162.0	1291
163	163.0	1183
164	164.0	1303
165	165.0	1316
166	166.0	1252
167	167.0	1205
168	168.0	1238
169	169.0	1302
170	170.0	1252
171	171.0	1267
172	172.0	1204
173	173.0	1231
174	174.0	1223
175	175.0	1185
176	176.0	1183
177	177.0	1241
178	178.0	1148
179	179.0	1194
180	180.0	1141
181	181.0	1154
182	182.0	1153
183	183.0	1189
184	184.0	1179
185	185.0	1146
186	186.0	1116
187	187.0	1083
188	188.0	1078
189	189.0	1096
190	190.0	1062
191	191.0	1131
192	192.0	1119
193	193.0	1108
194	194.0	1059
195	195.0	1047
196	196.0	1077
197	197.0	1025
198	198.0	1085
199	199.0	1082
200	200.0	1074
201	201.0	1067
202	202.0	1013
203	203.0	1026
204	204.0	1048
205	205.0	1043
206	206.0	989
207	207.0	1061
208	208.0	943
209	209.0	996
210	210.0	1012
211	211.0	958
212	212.0	969
213	213.0	1014
214	214.0	979
215	215.0	945
216	216.0	919
217	217.0	968
218	218.0	876
219	219.0	919
220	220.0	889
221	221.0	910
222	222.0	895
223	223.0	919
224	224.0	880
225	225.0	911
226	226.0	945
227	227.0	935
228	228.0	902
229	229.0	882
230	230.0	867
231	231.0	844
232	232.0	831
233	233.0	848
234	234.0	855
235	235.0	899
236	236.0	848
237	237.0	872
238	238.0	829
239	239.0	840
240	240.0	815
241	241.0	871
242	242.0	805
243	243.0	815
244	244.0	717
245	245.0	759
246	246.0	775
247	247.0	827
248	248.0	771
249	249.0	792
250	250.0	811
251	251.0	764
252	252.0	740
253	253.0	851
254	254.0	724
255	255.0	807
256	256.0	792
257	257.0	789
258	258.0	753
259	259.0	774
260	260.0	782
261	261.0	802
262	262.0	739
263	263.0	795
264	264.0	720
265	265.0	767
266	266.0	727
267	267.0	737
268	268.0	749
269	269.0	718
270	270.0	685
271	271.0	684
272	272.0	723
273	273.0	658
274	274.0	684
275	275.0	717
276	276.0	692
277	277.0	680
278	278.0	688
279	279.0	657
280	280.0	636
281	281.0	643
282	282.0	677
283	283.0	714
284	284.0	667
285	285.0	702
286	286.0	674
287	287.0	660
288	288.0	677
289	289.0	686
290	290.0	658
291	291.0	646
292	292.0	665
293	293.0	717
294	294.0	649
295	295.0	624
296	296.0	625
297	297.0	579
298	298.0	609
299	299.0	645
300	300.0	574
301	301.0	616
302	302.0	590
303	303.0	587
304	304.0	659
305	305.0	651
306	306.0	620
307	307.0	602
308	308.0	597
309	309.0	648
310	310.0	633
311	311.0	640
312	312.0	600
313	313.0	654
314	314.0	625
315	315.0	573
316	316.0	634
317	317.0	624
318	318.0	636
319	319.0	618
320	320.0	603
321	321.0	629
322	322.0	640
323	323.0	605
324	324.0	575
325	325.0	643
326	326.0	645
327	327.0	621
328	328.0	677
329	329.0	633
330	330.0	633
331	331.0	573
332	332.0	589
333	333.0	624
334	334.0	596
335	335.0	578
336	336.0	548
337	337.0	606
338	338.0	609
339	339.0	591
340	340.0	603
341	341.0	528
342	342.0	554
343	343.0	568
344	344.0	535
345	345.0	533
346	346.0	536
347	347.0	534
348	348.0	519
349	349.0	543
350	350.0	511
351	351.0	487
352	352.0	467
353	353.0	510
354	354.0	480
355	355.0	433
356	356.0	470
357	357.0	490
358	358.0	452
359	359.0	471
360	360.0	442
361	361.0	432
362	362.0	401
363	363.0	432
364	364.0	415
365	365.0	454
