Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.47
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:21:20
End Time:	enero 01, 2002, 12:26:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	30659	587	4	340

Channel Data:
Channel	Energy	Counts
351	351.0	497
352	352.0	516
353	353.0	460
354	354.0	447
355	355.0	502
356	356.0	462
357	357.0	449
358	358.0	472
359	359.0	468
360	360.0	415
361	361.0	443
362	362.0	421
363	363.0	466
364	364.0	442
365	365.0	404
366	366.0	429
367	367.0	424
368	368.0	448
369	369.0	435
370	370.0	428
371	371.0	393
372	372.0	452
373	373.0	409
374	374.0	442
375	375.0	441
376	376.0	396
377	377.0	394
378	378.0	384
379	379.0	412
380	380.0	430
381	381.0	411
382	382.0	381
383	383.0	342
384	384.0	406
385	385.0	410
386	386.0	395
387	387.0	427
388	388.0	384
389	389.0	424
390	390.0	415
391	391.0	403
392	392.0	382
393	393.0	385
394	394.0	381
395	395.0	370
396	396.0	398
397	397.0	391
398	398.0	426
399	399.0	343
400	400.0	373
401	401.0	410
402	402.0	374
403	403.0	368
404	404.0	378
405	405.0	413
406	406.0	370
407	407.0	394
408	408.0	387
409	409.0	355
410	410.0	400
411	411.0	393
412	412.0	363
413	413.0	360
414	414.0	369
415	415.0	375
416	416.0	392
417	417.0	350
418	418.0	353
419	419.0	347
420	420.0	358
421	421.0	335
422	422.0	349
423	423.0	335
424	424.0	345
425	425.0	336
426	426.0	332
427	427.0	332
428	428.0	351
429	429.0	331
430	430.0	310
431	431.0	333
432	432.0	322
433	433.0	312
434	434.0	321
435	435.0	357
436	436.0	334
437	437.0	339
438	438.0	295
439	439.0	312
440	440.0	312
441	441.0	318
442	442.0	303
443	443.0	328
444	444.0	323
445	445.0	309
446	446.0	330
447	447.0	334
448	448.0	341
449	449.0	295
450	450.0	299
451	451.0	269
452	452.0	336
453	453.0	300
454	454.0	330
455	455.0	332
456	456.0	314
457	457.0	330
458	458.0	314
459	459.0	310
460	460.0	321
461	461.0	314
462	462.0	307
463	463.0	304
464	464.0	305
465	465.0	338
466	466.0	303
467	467.0	312
468	468.0	314
469	469.0	294
470	470.0	330
471	471.0	290
472	472.0	297
473	473.0	322
474	474.0	293
475	475.0	280
476	476.0	330
477	477.0	306
478	478.0	288
479	479.0	290
480	480.0	266
481	481.0	297
482	482.0	301
483	483.0	316
484	484.0	306
485	485.0	301
486	486.0	313
487	487.0	296
488	488.0	300
489	489.0	297
490	490.0	283
491	491.0	309
492	492.0	270
493	493.0	268
494	494.0	272
495	495.0	284
496	496.0	260
497	497.0	264
498	498.0	264
499	499.0	243
500	500.0	238
501	501.0	254
502	502.0	273
503	503.0	284
504	504.0	252
505	505.0	260
506	506.0	247
507	507.0	244
508	508.0	226
509	509.0	235
510	510.0	238
511	511.0	250
512	512.0	230
513	513.0	243
514	514.0	225
515	515.0	242
516	516.0	234
517	517.0	242
518	518.0	223
519	519.0	213
520	520.0	183
521	521.0	204
522	522.0	202
523	523.0	213
524	524.0	194
525	525.0	197
526	526.0	206
527	527.0	186
528	528.0	191
529	529.0	189
530	530.0	210
531	531.0	193
532	532.0	204
533	533.0	184
534	534.0	196
535	535.0	198
536	536.0	144
537	537.0	190
538	538.0	194
539	539.0	187
540	540.0	169
541	541.0	192
542	542.0	164
543	543.0	189
544	544.0	178
545	545.0	179
546	546.0	199
547	547.0	153
548	548.0	185
549	549.0	203
550	550.0	166
551	551.0	184
552	552.0	157
553	553.0	163
554	554.0	175
555	555.0	207
