Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.07
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:27:42
End Time:	enero 01, 2002, 12:32:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	29183	226	10	340

Channel Data:
Channel	Energy	Counts
352	352.0	406
353	353.0	442
354	354.0	412
355	355.0	456
356	356.0	440
357	357.0	436
358	358.0	396
359	359.0	427
360	360.0	445
361	361.0	396
362	362.0	402
363	363.0	418
364	364.0	453
365	365.0	393
366	366.0	394
367	367.0	412
368	368.0	380
369	369.0	411
370	370.0	406
371	371.0	416
372	372.0	390
373	373.0	414
374	374.0	365
375	375.0	392
376	376.0	397
377	377.0	370
378	378.0	373
379	379.0	373
380	380.0	379
381	381.0	420
382	382.0	384
383	383.0	402
384	384.0	395
385	385.0	372
386	386.0	394
387	387.0	352
388	388.0	356
389	389.0	375
390	390.0	344
391	391.0	371
392	392.0	364
393	393.0	342
394	394.0	350
395	395.0	376
396	396.0	343
397	397.0	364
398	398.0	379
399	399.0	364
400	400.0	345
401	401.0	361
402	402.0	334
403	403.0	320
404	404.0	376
405	405.0	366
406	406.0	360
407	407.0	332
408	408.0	388
409	409.0	334
410	410.0	322
411	411.0	338
412	412.0	320
413	413.0	341
414	414.0	337
415	415.0	325
416	416.0	307
417	417.0	340
418	418.0	342
419	419.0	281
420	420.0	318
421	421.0	320
422	422.0	330
423	423.0	318
424	424.0	293
425	425.0	334
426	426.0	317
427	427.0	270
428	428.0	306
429	429.0	313
430	430.0	310
431	431.0	273
432	432.0	265
433	433.0	271
434	434.0	301
435	435.0	289
436	436.0	306
437	437.0	296
438	438.0	280
439	439.0	281
440	440.0	302
441	441.0	292
442	442.0	285
443	443.0	269
444	444.0	288
445	445.0	305
446	446.0	276
447	447.0	301
448	448.0	293
449	449.0	276
450	450.0	286
451	451.0	280
452	452.0	278
453	453.0	260
454	454.0	294
455	455.0	264
456	456.0	285
457	457.0	297
458	458.0	334
459	459.0	261
460	460.0	286
461	461.0	299
462	462.0	283
463	463.0	240
464	464.0	302
465	465.0	282
466	466.0	272
467	467.0	260
468	468.0	287
469	469.0	264
470	470.0	284
471	471.0	331
472	472.0	285
473	473.0	274
474	474.0	291
475	475.0	285
476	476.0	291
477	477.0	279
478	478.0	269
479	479.0	291
480	480.0	284
481	481.0	263
482	482.0	275
483	483.0	286
484	484.0	261
485	485.0	260
486	486.0	280
487	487.0	311
488	488.0	306
489	489.0	263
490	490.0	256
491	491.0	280
492	492.0	258
493	493.0	297
494	494.0	238
495	495.0	248
496	496.0	272
497	497.0	271
498	498.0	247
499	499.0	250
500	500.0	265
501	501.0	238
502	502.0	231
503	503.0	252
504	504.0	255
505	505.0	255
506	506.0	243
507	507.0	253
508	508.0	228
509	509.0	243
510	510.0	222
511	511.0	243
512	512.0	218
513	513.0	226
514	514.0	216
515	515.0	191
516	516.0	202
517	517.0	199
518	518.0	219
519	519.0	201
520	520.0	217
521	521.0	204
522	522.0	183
523	523.0	216
524	524.0	182
525	525.0	186
526	526.0	205
527	527.0	189
528	528.0	198
529	529.0	186
530	530.0	175
531	531.0	178
532	532.0	171
533	533.0	184
534	534.0	171
535	535.0	184
536	536.0	180
537	537.0	176
538	538.0	198
539	539.0	156
540	540.0	159
541	541.0	202
542	542.0	183
543	543.0	196
544	544.0	176
545	545.0	183
546	546.0	157
547	547.0	169
548	548.0	148
549	549.0	175
550	550.0	160
551	551.0	172
552	552.0	187
553	553.0	165
554	554.0	167
555	555.0	158
556	556.0	149
557	557.0	179
558	558.0	162
559	559.0	171
560	560.0	185
561	561.0	180
562	562.0	149
563	563.0	161
564	564.0	169
565	565.0	165
566	566.0	171
567	567.0	181
568	568.0	176
569	569.0	149
570	570.0	159
571	571.0	159
572	572.0	160
573	573.0	174
574	574.0	153
575	575.0	164
576	576.0	168
577	577.0	167
578	578.0	151
579	579.0	150
580	580.0	147
581	581.0	159
582	582.0	169
583	583.0	161
584	584.0	178
585	585.0	165
586	586.0	149
587	587.0	164
588	588.0	149
589	589.0	181
590	590.0	153
591	591.0	143
592	592.0	152
593	593.0	140
594	594.0	149
595	595.0	137
596	596.0	152
597	597.0	155
598	598.0	159
599	599.0	152
600	600.0	142
601	601.0	155
602	602.0	179
603	603.0	133
604	604.0	151
605	605.0	142
606	606.0	164
607	607.0	123
608	608.0	145
609	609.0	134
610	610.0	159
611	611.0	158
612	612.0	145
613	613.0	152
614	614.0	170
615	615.0	153
